Date,Open,High,Low,Close,Adj Close,Volume,Days
2015-01-14,124.769997,125.540001,124.599998,125.440002,99.701035,123800,221
2015-01-15,125.919998,126.32,125.209999,125.720001,99.923615,87900,222
2015-01-16,125.519997,126.720001,125.419998,126.660004,100.670738,115100,223
2015-01-20,127.120003,127.669998,126.080002,127.150002,101.060211,515800,224
2015-01-21,126.900002,127.709999,126.279999,127.610001,101.425797,154400,225
2015-01-22,128.080002,129.020004,127.099998,128.990005,102.522629,121200,226
2015-01-23,128.460007,128.460007,127.639999,127.660004,101.465546,143700,227
2015-01-26,127.559998,127.860001,127.089996,127.779999,101.560944,114000,228
2015-01-27,126.769997,126.830002,125.709999,126.300003,100.384598,188000,229
2015-01-28,126.779999,127.120003,124.75,124.900002,99.271873,116200,230
2015-01-29,125.220001,125.870003,124.300003,125.769997,99.963348,109600,231
2015-01-30,125.199997,125.199997,123.32,123.440002,98.11145,113700,232
2015-02-02,123.709999,125.029999,122.540001,125.029999,99.375206,217900,233
2015-02-03,125.529999,126.129997,125.040001,126.129997,100.249489,109200,234
2015-02-04,125.940002,127.07,125.940002,126.25,100.344849,116300,235
2015-02-05,126.470001,126.910004,126.279999,126.870003,100.837639,111200,236
2015-02-06,127.029999,127.029999,125.900002,126.370003,100.440216,81400,237
2015-02-09,126.139999,126.230003,125.120003,125.459999,99.716965,106000,238
2015-02-10,126.5,126.949997,125.809998,126.830002,100.80584,129800,239
2015-02-11,127.089996,127.720001,126.599998,127.470001,101.314545,142400,240
2015-02-12,127.760002,127.910004,127.349998,127.889999,101.648346,82600,241
2015-02-13,127.889999,127.889999,127.220001,127.480003,101.322479,94100,242
2015-02-17,127.370003,127.639999,126.699997,127.489998,101.330437,164300,243
2015-02-18,127.349998,128.149994,127.260002,128.149994,101.854988,69900,244
2015-02-19,127.849998,127.949997,127.339996,127.419998,101.27478,78000,245
2015-02-20,127.230003,127.849998,126.550003,127.760002,101.545044,107800,246
2015-02-23,127.699997,128.160004,127.699997,128.130005,101.839111,76000,247
2015-02-24,128.160004,128.639999,127.860001,128.559998,102.180862,116100,248
2015-02-25,128.479996,128.649994,128,128.169998,101.870872,76000,249
2015-02-26,128.080002,128.360001,127.809998,128.279999,101.958328,73300,250
2015-02-27,128.399994,128.910004,128.270004,128.720001,102.308037,69300,251
2015-03-02,128.75,128.990005,128.490005,128.929993,102.474953,101600,252
2015-03-03,128.880005,128.880005,127.910004,128.460007,102.101387,82000,253
2015-03-04,128.309998,128.309998,127.300003,127.610001,101.425797,75700,254
2015-03-05,128.059998,128.080002,127.589996,128.039993,101.767593,117400,255
2015-03-06,127.489998,127.489998,125.290001,125.690002,99.899765,151300,256
2015-03-09,125.980003,126.449997,125.720001,126.260002,100.352814,90900,257
2015-03-10,125.5,125.5,124.400002,124.400002,98.874435,140200,258
2015-03-11,124.650002,124.650002,123.32,123.629997,98.262459,103100,259
2015-03-12,124,125.389999,123.949997,125.379997,99.653366,87000,260
2015-03-13,125.279999,125.279999,123.730003,124.480003,98.938034,109700,261
2015-03-16,125.080002,125.849998,125,125.82,100.00309,1680400,262
2015-03-17,125.690002,125.690002,124.730003,125.099998,99.43084,97100,263
2015-03-18,124.93,126.459999,123.440002,125.910004,100.074646,130400,264
2015-03-19,125.650002,125.900002,125.300003,125.459999,99.716965,68600,265
2015-03-20,125.940002,127.010002,125.760002,126.949997,100.90123,87200,266
2015-03-23,126.93,127.959999,126.93,127.379997,101.242966,153900,267
2015-03-24,127.629997,127.900002,126.660004,126.660004,100.670738,101200,268
2015-03-25,127.900002,128.199997,126.360001,126.410004,100.472,126900,269
2015-03-26,126.019997,126.389999,125.529999,125.900002,100.066696,63500,270
2015-03-27,125.980003,126.800003,125.900002,126.760002,100.750214,88200,271
2015-03-30,127.239998,128.029999,126.610001,127.989998,101.727829,132900,272
2015-03-31,127.57,129,125.120003,126.989998,100.933022,155200,273
2015-04-01,126.93,126.989998,125.830002,126.989998,100.933022,146000,274
2015-04-02,127,128.050003,126.959999,127.860001,101.624489,65000,275
2015-04-06,127.489998,129.320007,127.410004,128.929993,102.474953,76000,276
2015-04-07,128.929993,129.25,128.25,128.279999,101.958328,98200,277
2015-04-08,128.470001,128.759995,127.93,128.429993,102.07753,77500,278
2015-04-09,128.529999,128.919998,127.959999,128.860001,102.419334,52400,279
2015-04-10,128.910004,129.360001,128.639999,129,102.530579,47500,280
2015-04-13,128.759995,129.110001,128.380005,128.449997,102.093445,90100,281
2015-04-14,128.509995,128.910004,127.949997,128.690002,102.28421,97500,282
2015-04-15,129,129.369995,128.339996,128.440002,102.085503,95000,283
2015-04-16,128.669998,129.199997,128.539993,128.759995,102.339836,104900,284
2015-04-17,128.25,128.25,126.839996,127.550003,101.37812,85700,285
2015-04-20,128.110001,128.639999,127.949997,127.949997,101.69603,56000,286
2015-04-21,128.410004,128.770004,127.970001,128.110001,101.823212,61500,287
2015-04-22,128.380005,128.380005,127.550003,128.289993,101.96627,77200,288
2015-04-23,127.830002,128.410004,127.690002,127.860001,101.624489,88700,289
2015-04-24,128.029999,128.179993,127.730003,127.779999,101.560944,99500,290
2015-04-27,127.989998,128,127.040001,127.129997,101.044304,135600,291
2015-04-28,127.279999,127.410004,126.639999,127.190002,101.09198,71400,292
2015-04-29,126.989998,126.989998,125.980003,126.120003,100.241554,83600,293
2015-04-30,126.099998,126.220001,125.080002,125.540001,99.78054,90900,294
2015-05-01,125.970001,126.68,125.809998,126.660004,100.670738,134700,295
2015-05-04,127,127.220001,126.730003,126.949997,100.90123,74900,296
2015-05-05,126.879997,126.989998,125.709999,125.919998,100.082573,91500,297
2015-05-06,126.379997,126.550003,125.639999,126.309998,100.392525,64800,298
2015-05-07,125.809998,126.760002,125.639999,126.57,100.599243,74300,299
